Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Unit,Value,Flag,Flag Description
"RL","Land Use","28","Myanmar","5110","Area","6610","Agricultural land","1000 ha","11027.34","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","147","Namibia","5110","Area","6610","Agricultural land","1000 ha","38724.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","148","Nauru","5110","Area","6610","Agricultural land","1000 ha","0.39","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","149","Nepal","5110","Area","6610","Agricultural land","1000 ha","4029.02","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","150","Netherlands","5110","Area","6610","Agricultural land","1000 ha","2015.22","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","151","Netherlands Antilles (former)","5110","Area","6610","Agricultural land","1000 ha","7.74","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","153","New Caledonia","5110","Area","6610","Agricultural land","1000 ha","240.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","156","New Zealand","5110","Area","6610","Agricultural land","1000 ha","14547.82","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","157","Nicaragua","5110","Area","6610","Agricultural land","1000 ha","4307.13","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","158","Niger","5110","Area","6610","Agricultural land","1000 ha","35828.8","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","159","Nigeria","5110","Area","6610","Agricultural land","1000 ha","61249.93","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","160","Niue","5110","Area","6610","Agricultural land","1000 ha","4.55","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","161","Norfolk Island","5110","Area","6610","Agricultural land","1000 ha","1","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","154","North Macedonia","5110","Area","6610","Agricultural land","1000 ha","1237.79","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","163","Northern Mariana Islands","5110","Area","6610","Agricultural land","1000 ha","2.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","162","Norway","5110","Area","6610","Agricultural land","1000 ha","991.47","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","221","Oman","5110","Area","6610","Agricultural land","1000 ha","1174.71","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","164","Pacific Islands Trust Territory","5110","Area","6610","Agricultural land","1000 ha","47.2","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","165","Pakistan","5110","Area","6610","Agricultural land","1000 ha","36261.08","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","180","Palau","5110","Area","6610","Agricultural land","1000 ha","4.3","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","299","Palestine","5110","Area","6610","Agricultural land","1000 ha","478.54","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","166","Panama","5110","Area","6610","Agricultural land","1000 ha","2015.23","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","168","Papua New Guinea","5110","Area","6610","Agricultural land","1000 ha","874.58","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","169","Paraguay","5110","Area","6610","Agricultural land","1000 ha","15947.46","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","170","Peru","5110","Area","6610","Agricultural land","1000 ha","20811.9","A","Aggregate, may include official, semi-official, estimated or calculated data"
