Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1981","1981","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1982","1982","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1983","1983","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1984","1984","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1985","1985","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1986","1986","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1987","1987","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1988","1988","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1989","1989","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1990","1990","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1991","1991","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1992","1992","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1993","1993","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1994","1994","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1995","1995","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
"RL","Land Use","5100","Africa","5110","Area","6601","Land area","1996","1996","1000 ha","2964822.5","A","Aggregate, may include official, semi-official, estimated or calculated data"
